lap_id,driver,air_temp,track_temp,track_usage,humidity,wind_vel,wind_dir,precipitation,cloud_cover,fog_level,fuel_level,fuel_used,tire_compound
01K57J2S8K5XASV3R5VR1V6N89,Cameron Dick,20.462608,32.77777099609375,71.0,0.7925841,3.7040837,2.914291,0,3,0,32.25017,3.0594034,1.0
01K79032BP8J0TNDGESSCYE83S,Cameron Iverson,20.902493,23.333343505859375,57.0,0.67128766,2.1005511,1.9576821,0,2,0,50.657166,3.1159787,1.0
01KDC9YJXHJ77DG81BX3Y3XBCN,Carlos Eduardo de Carvalho,19.159609,24.4444580078125,57.0,0.6060231,4.449465,1.6245667,0,2,0,20.118975,3.0313811,
01KDGAA28EBJ5489HR53AXVZYW,Carlos Heredia,18.761438,23.888885498046875,71.0,0.75494224,6.1333528,0.36129683,0,2,0,45.6379,3.0409937,1.0
01KDGTJY45C8E6MHW0R2WNP0BP,Carlos Lambardi,18.83971,24.4444580078125,42.0,0.7223287,5.0132675,1.2647043,0,2,0,40.03798,3.0480456,1.0
01KDGAAMZH658T4NHJR2TE72DG,Carlos Sarmiento,18.728172,24.4444580078125,42.0,0.6493669,5.9635034,1.2335445,0,2,0,17.374058,3.1262653,1.0
01K7BMN2G369NEJZNHV1F4D4GM,Carlos Tovar,19.187235,21.111114501953125,71.0,0.90283304,0.76246065,5.3478885,0,1,0,51.792732,3.1391025,
01KJBWWJ7W347J2MJDYBAXBRPH,Carter Kuryanowicz,18.88889,23.888885498046875,71.0,0.56,4.02336,2.3561945,0,3,0,20.133524,3.0456152,1.0
01KDKFWNGYEAPH3W0Y6QN4JG3Q,Charles Kellyman,18.917042,24.4444580078125,15.0,0.6997372,5.5303855,0.82979554,0,2,0,31.006763,2.9734871,1.0
01KKTP40FSH898XCZDJZ5GTVYY,Chris Croat,21.199661,27.77777099609375,42.0,0.5276846,2.920679,4.7107124,0,4,0,36.11504,3.1107378,1.0
01KN7QZJK7AZS67SG2NNH8VHJM,Chris Payne,19.581234,26.666656494140625,,0.5707648,2.7860446,3.651682,0,3,0,24.828587,3.3138063,1.0
01KDNR5NQBVGTEZVYSRDPMG0T4,Christian E. Schmidt,18.818241,25.0,,0.66128796,0.99045277,3.25918,0,2,0,39.25463,3.1570773,1.0
01K7A0PR4WBH5NV0FSDMVB4KR8,Christian Filz,18.691156,19.4444580078125,,0.9477483,3.3201694,5.170671,0,1,0,38.938896,3.1273494,1.0
01K6ZHG18KV31BX9H88J2B9T3Y,Christian Furze,19.444445,20.555572509765625,42.0,0.45000002,0.44704,2.3561945,0,1,0,45.514217,3.074419,1.0
01K72R32YY9GW5CCM49DF0NYR6,Christian Julian,19.639193,21.666656494140625,-1.0,0.7718896,4.379679,0.6911904,0,2,0,39.061718,2.952808,1.0
01KDDJNKJQ1KC6APB47SFT17PF,Christian Rivera3,19.294518,25.555572509765625,71.0,0.50064445,2.0575051,2.0643747,0,2,0,26.735477,3.10921,
01KBKV3QYN2BZXYWTK52WMK18J,Christian Ruiz9,18.792233,18.888885498046875,57.0,0.9492872,0.9284441,3.3591886,0,1,0,33.630554,3.0729675,1.0
01KJRTYE8CNAFA8MMWQTPCW04X,Christian Savard,20.766363,26.666656494140625,28.0,0.24424659,2.1086135,1.7773104,0,3,0,32.78849,3.1112382,1.0
01K7FRMB1V74H739ASKZZRJWZ3,Christian van de Luitgaarden,19.025478,21.666656494140625,57.0,0.95,4.327799,5.6455255,0,2,0,42.47948,3.106714,
01K75SGX8PK2A1ZAAS07P2JZ6Q,Christian X Cardona,19.705486,20.555572509765625,71.0,0.9406261,2.7427588,2.3451424,0,1,0,4.751708,2.8820763,1.0
01K7546Q5DHH4VV74CCAGB9D4J,Christophe Senesael,18.876966,21.666656494140625,-1.0,0.95,2.5879877,5.9629364,0,2,0,11.501526,2.9537392,1.0
01KKV2AYCSZ04C83KGJPJQS2Z4,Christopher Dobell,20.32564,26.111114501953125,15.0,0.6593516,3.4406736,3.7410958,0,4,0,42.617195,3.13484,1.0
01KDBVP85C4GA0MK129DWGXZSJ,Christopher Michael Berger,18.860704,25.0,95.0,0.6471898,4.1328077,2.1445165,0,2,0,35.387897,3.1138096,
01JW9JWKJG1BT5NTPNTM5FVKTQ,Christopher Starsmore,18.333334,23.888885498046875,57.0,0.29999998,0.89408004,0.0,0,2,0,6.0571446,3.142669,1.0
01K55V4ECDH3GDJ4PVD5559Y4V,Cody Meek,20.376379,37.22222900390625,84.0,0.77607757,2.8810241,2.7274988,0,3,0,38.025085,3.0560322,1.0
01KD30NWJNXH8Y82GE4K1CH9GJ,Colin Rassmann,20.793945,21.111114501953125,28.0,0.33383456,0.2299625,2.234054,0,3,0,30.642342,3.0094247,1.0
01K784CQSQRJZ14K1TB4H0WGVB,Connor Wyatt,19.108723,22.22222900390625,-1.0,0.95,2.6465151,5.4072294,0,2,0,12.614613,3.0166395,1.0
